[0, 510300, 527553.0, 501017.4000000033, 501838.7400000017, 511270.4609999988]
[0, 453544, 448915.99999999645, 450026.72000000416, 441122.4480000023, 451446.5904000023]
[0, 743270, 751192.0, 732412.1999999951, 734577.9350000011, 688762.7954999991]
[0, 336753, 330903.29999999923, 336658.14000000135, 328820.59599999996, 325115.5752000002]
[0, 582180, 587156.7000000011, 609373.439999998, 598265.0700000019, 603422.5275000008]
[0, 263907, 258785.79999999804, 260342.81000000038, 252246.35800000082, 268941.80040000036]
[0, 634218, 665254.2000000061, 659586.7199999938, 659060.4539999994, 684829.9457999965]
[0, 460598, 437496.80000000325, 447043.8699999959, 452707.229000002, 452080.64459999854]
[0, 363209, 368339.4000000019, 372432.06000000087, 386817.00200000167, 351337.42930000025]
[0, 182900, 189832.5, 188950.44999999917, 186657.11999999968, 183675.79099999918]
[0, 159896, 160174.29999999853, 162476.60000000155, 156191.3209999994, 158970.52599999972]
[0, 407008, 406879.2000000035, 409223.3599999965, 391918.4360000005, 421206.2035999997]
[0, 195394, 192374.00000000172, 184757.56000000093, 191086.27200000107, 183721.48859999963]
[0, 656824, 663972.4000000017, 656565.0000000009, 628201.3919999984, 656880.1512000026]
[0, 396864, 402355.20000000356, 387023.51999999926, 381117.9840000026, 397432.0272000014]
[0, 180523, 184684.50000000166, 184311.39999999962, 174659.3029999996, 179514.45329999938]
[0, 493914, 502593.00000000396, 494695.10999999614, 506162.4360000021, 498015.30089999904]
[0, 472221, 464978.8000000038, 474585.79999999626, 446485.3249999992, 468566.0537999987]
[0, 227409, 230657.70000000193, 226248.7499999983, 225886.7519999995, 206984.42310000065]
[0, 361963, 374628.7999999966, 375081.9800000034, 358684.4169999989, 361747.9137999991]
[0, 207459, 218181.5999999981, 208224.89999999886, 204116.67899999916, 213042.21119999952]
[0, 506566, 496498.6000000038, 495563.76999999926, 505556.0639999983, 531711.5687000034]
[0, 324938, 306679.1, 325576.8100000021, 311635.661999999, 316056.0259999993]
[0, 304473, 299518.6999999973, 312962.65000000305, 303289.2590000007, 296737.365599999]
[0, 446472, 437135.3999999967, 437774.22000000137, 458061.31799999863, 439091.1018000023]
[0, 278369, 272688.00000000146, 276948.75000000023, 273625.3650000012, 278329.8010999996]
[0, 336162, 344861.3999999988, 339416.22000000207, 329161.1309999985, 348155.7339000013]
[0, 305280, 301988.70000000024, 300686.4900000013, 298671.1650000007, 292907.3354999995]
[0, 401952, 412573.19999999634, 393391.4400000024, 394036.34400000033, 401441.9916000012]
[0, 144552, 145828.79999999865, 143724.36000000135, 142260.14399999948, 141308.4035999997]
[0, 241164, 234889.19999999815, 239557.50000000186, 239174.20799999818, 238592.88179999928]
[0, 559526, 543827.6999999952, 563209.4000000014, 554909.4720000036, 543541.5348999974]
[0, 478590, 470724.7999999961, 474004.43999999785, 446667.6759999998, 455633.63299999817]
[0, 427378, 444116.39999999624, 420840.42000000284, 452142.59999999875, 423205.47360000195]
[0, 301320, 290764.5, 287621.1000000006, 294222.2400000006, 288194.7705000002]
[0, 542640, 525252.0, 522412.7999999965, 529652.759999998, 523009.0320000017]
[0, 734375, 746947.5, 714870.0, 753790.699999996, 785284.6949999975]
[0, 445599, 432432.0000000032, 440359.91999999876, 424783.3590000012, 439399.56060000067]
[0, 506796, 503567.99999999563, 527802.210000002, 507071.99399999855, 504767.12130000134]
[0, 431886, 427479.00000000314, 415932.6600000021, 430484.57399999857, 437634.49079999863]
[0, 710368, 701375.9999999973, 710435.4400000048, 706256.4079999991, 731938.4591999986]
[0, 474981, 448897.79999999644, 480879.3599999969, 467229.3990000027, 469834.1622000001]
[0, 740747, 754301.5999999959, 737453.4700000006, 765384.269000002, 777661.7640999975]
[0, 641985, 634806.9000000007, 645847.0200000012, 641917.2630000019, 620816.1765000015]
[0, 415296, 428937.5999999968, 428151.3599999978, 425198.59200000163, 433761.6192000012]
[0, 440055, 433332.9000000032, 438017.5799999988, 443053.6110000013, 433461.7287000006]
[0, 306560, 293914.4000000026, 303566.25000000163, 307289.99600000185, 302343.88990000024]
[0, 287736, 288100.79999999737, 290531.28000000276, 291533.1119999989, 280012.04399999935]
[0, 701760, 688812.8000000062, 682165.1199999938, 671684.4160000022, 671206.3488000031]
[0, 140800, 141570.0, 136078.80000000057, 139201.91999999926, 132580.1620000003]
[0, 594672, 597149.8000000054, 626511.7299999987, 588341.2209999991, 609697.3792000014]
[0, 646258, 653738.7999999988, 677781.2599999994, 645999.2889999996, 667684.7774999987]
[0, 618552, 609065.6000000056, 613470.0000000006, 597601.5759999992, 610999.7607999995]
[0, 274975, 262990.0, 270062.0, 268912.800000001, 258548.45249999978]
[0, 530370, 526552.0, 521804.40000000305, 499641.74000000174, 538117.8010000021]
[0, 320670, 320262.8000000029, 322578.7500000007, 331008.8079999977, 312557.30350000004]
[0, 288750, 299699.4000000003, 286546.26000000053, 295369.074, 287654.9675999992]
[0, 155871, 163802.59999999966, 159071.25000000064, 156610.9479999994, 156280.07979999977]
[0, 493584, 492555.69999999617, 502633.0399999968, 498756.34899999807, 528646.9733999986]
[0, 296694, 305709.3000000001, 302298.7500000013, 306006.94800000056, 296994.41459999944]
[0, 625581, 633804.5999999994, 608859.6800000025, 617297.6810000027, 581593.355200003]
[0, 230140, 234247.0, 235112.79999999847, 230860.76000000164, 244110.86700000113]
[0, 401955, 399106.50000000256, 396884.6700000012, 406084.6920000002, 392316.75209999917]
[0, 164901, 167872.89999999845, 162676.02000000037, 166409.56799999948, 171263.1803999994]
